Reaction Date,Reaction Type,Parent Type,Parent ID
"Jun 22, 2020, 12:04:13 AM",Kudos,Activity,3651525641
"Jun 22, 2020, 11:55:06 AM",Kudos,Activity,3651616666
"Jun 22, 2020, 11:55:16 AM",Kudos,Activity,3653065269
"Jun 22, 2020, 7:27:22 PM",Kudos,Activity,3654823171
"Jun 22, 2020, 7:27:33 PM",Kudos,Activity,3654822961
"Jun 22, 2020, 9:56:59 PM",Kudos,Activity,3655837680
"Jun 22, 2020, 11:57:46 PM",Kudos,Activity,3656198251
"Jun 23, 2020, 3:15:47 AM",Kudos,Activity,3656461577
"Jun 23, 2020, 2:08:20 PM",Kudos,Activity,3658732186
"Jun 23, 2020, 2:28:35 PM",Kudos,Activity,3658840174
"Jun 23, 2020, 8:15:12 PM",Kudos,Activity,3660586762
